,Favorite,Spread,Underdog,Pred_Total,Away Money Line,Home Money Line,Week,Year,True_Results,Pred_Results,Correct,PtsW,PtsL,True_total
0,Saints,-7.5,Panthers,41.5,295.0,-325.0,17,2018,Over,Over,True,34,32,66
1,Giants,-7.5,Cowboys,38.5,280.0,-310.0,17,2018,Under,Over,False,20,3,23
2,Bills,-5.5,Dolphins,39.5,220.0,-240.0,17,2018,Over,Over,True,36,35,71
3,Falcons,-2.5,Buccaneers,52.0,-140.0,130.0,17,2018,Over,Over,True,42,17,59
4,Chargers,-6.5,Broncos,43.5,-290.0,260.0,17,2018,Under,Over,False,35,3,38
5,Ravens,-7.0,Browns,41.0,260.0,-290.0,17,2018,Over,Under,False,26,24,50
6,Eagles,-6.0,Redskins,43.0,-240.0,220.0,17,2018,Under,Under,True,23,9,32
7,Steelers,-13.5,Bengals,46.0,575.0,-710.0,17,2018,Under,Under,True,24,10,34
8,Seahawks,-15.0,Cardinals,40.0,675.0,-860.0,17,2018,Under,Over,False,24,0,24
9,Chiefs,-14.0,Raiders,53.0,700.0,-900.0,17,2018,Over,Under,False,27,24,51
10,Rams,-10.5,49ers,50.0,390.0,-440.0,17,2018,Under,Over,False,16,13,29
11,Vikings,-5.5,Bears,39.5,215.0,-235.0,17,2018,Over,Under,False,48,32,80
12,Colts,-5.5,Titans,42.5,-235.0,215.0,17,2018,Over,Under,False,33,17,50
13,Bears,-3.0,Packers,47.0,143.0,-175.0,1,2019,Under,Over,False,10,3,13
14,Browns,-5.5,Titans,44.0,200.0,-250.0,1,2019,Over,Over,True,59,10,69
15,Rams,-1.5,Panthers,49.0,-124.0,102.0,1,2019,Over,Under,False,30,27,57
16,Ravens,-7.0,Dolphins,41.0,-315.0,255.0,1,2019,Over,Over,True,32,27,59
17,Vikings,-3.5,Falcons,47.0,160.0,-195.0,1,2019,Over,Over,True,43,13,56
18,Chiefs,-3.5,Jaguars,49.0,-205.0,165.0,1,2019,Under,Over,False,17,16,33
19,Jets,-2.5,Bills,41.0,125.0,-155.0,1,2019,Over,Over,True,40,26,66
20,Eagles,-10.5,Redskins,44.5,400.0,-560.0,1,2019,Under,Over,False,28,12,40
21,Seahawks,-9.5,Bengals,44.5,350.0,-480.0,1,2019,Over,Over,True,30,24,54
22,Chargers,-6.0,Colts,45.0,215.0,-275.0,1,2019,Under,Over,False,21,20,41
23,Buccaneers,-1.0,49ers,51.0,-104.0,-118.0,1,2019,Under,Under,True,31,17,48
24,Lions,-3.0,Cardinals,46.0,-165.0,135.0,1,2019,Over,Under,False,27,27,54
25,Cowboys,-7.0,Giants,44.0,260.0,-335.0,1,2019,Over,Over,True,35,17,52
26,Patriots,-5.5,Steelers,49.5,200.0,-250.0,1,2019,Under,Under,True,33,3,36
