,Away Money Line,Date,Day,Favorite,Favorite_Home,Home Money Line,Loser/tie,Pred_Total,PtsL,PtsW,Spread,TOL,TOW,Time,True_total,Underdog,Underdog_Home,Unnamed: 5,Unnamed: 7,Week,Winner/tie,YdsL,YdsW,Year,year,O/U
0,270.0,10-Sep,Thu,Patriots,1.0,-340.0,Steelers,51.0,21,28,-7.0,1,0,8:40PM,49,Steelers,0.0,,boxscore,1,Patriots,464,361,2015.0,2015,Under
1,-185.0,13-Sep,Sun,Seahawks,0.0,160.0,Seahawks,42.0,31,34,-4.0,1,3,1:00PM,65,Rams,1.0,,boxscore,1,Rams,343,352,2015.0,2015,Over
2,-286.0,13-Sep,Sun,Packers,0.0,230.0,Bears,48.0,23,31,-6.0,1,0,1:00PM,54,Bears,1.0,@,boxscore,1,Packers,402,322,2015.0,2015,Over
3,-210.0,13-Sep,Sun,Dolphins,0.0,175.0,Redskins,46.0,10,17,-4.0,2,1,1:02PM,27,Redskins,1.0,@,boxscore,1,Dolphins,349,256,2015.0,2015,Under
4,-115.0,13-Sep,Sun,Chiefs,0.0,-105.0,Texans,40.0,20,27,-1.0,2,0,1:02PM,47,Texans,1.0,@,boxscore,1,Chiefs,396,330,2015.0,2015,Over
5,-150.0,13-Sep,Sun,Panthers,0.0,130.0,Jaguars,41.0,9,20,-3.0,3,1,1:03PM,29,Jaguars,1.0,@,boxscore,1,Panthers,265,263,2015.0,2015,Under
6,-115.0,13-Sep,Sun,Colts,0.0,-105.0,Colts,44.0,14,27,-1.0,3,0,1:03PM,41,Bills,1.0,,boxscore,1,Bills,304,342,2015.0,2015,Under
7,170.0,13-Sep,Sun,Jets,1.0,-190.0,Browns,40.0,10,31,-4.0,5,1,1:04PM,41,Browns,0.0,,boxscore,1,Jets,321,333,2015.0,2015,Over
8,160.0,13-Sep,Sun,Chargers,1.0,-180.0,Lions,46.0,28,33,-4.0,2,3,4:05PM,61,Lions,0.0,,boxscore,1,Chargers,302,483,2015.0,2015,Over
9,120.0,13-Sep,Sun,Cardinals,1.0,-140.0,Saints,49.0,19,31,-2.0,1,1,4:05PM,50,Saints,0.0,,boxscore,1,Cardinals,408,427,2015.0,2015,Over
10,180.0,13-Sep,Sun,Broncos,1.0,-220.0,Ravens,46.0,13,19,-4.0,2,1,4:25PM,32,Ravens,0.0,,boxscore,1,Broncos,173,219,2015.0,2015,Under
11,130.0,13-Sep,Sun,Buccaneers,1.0,-150.0,Buccaneers,40.0,14,42,-3.0,2,1,4:25PM,56,Titans,0.0,@,boxscore,1,Titans,273,309,2015.0,2015,Over
12,-154.0,13-Sep,Sun,Bengals,0.0,130.0,Raiders,43.0,13,33,-3.0,2,0,4:25PM,46,Raiders,1.0,@,boxscore,1,Bengals,246,396,2015.0,2015,Over
13,240.0,13-Sep,Sun,Cowboys,1.0,-300.0,Giants,52.0,26,27,-7.0,0,3,8:31PM,53,Giants,0.0,,boxscore,1,Cowboys,288,436,2015.0,2015,Over
14,-188.0,14-Sep,Mon,Eagles,0.0,150.0,Eagles,55.0,24,26,-3.0,2,2,7:10PM,50,Falcons,1.0,,boxscore,1,Falcons,399,395,2015.0,2015,Under
15,-142.0,14-Sep,Mon,Vikings,0.0,120.0,Vikings,42.0,3,20,-2.0,1,1,10:20PM,23,49ers,1.0,,boxscore,1,49ers,248,395,2015.0,2015,Under
0,150.0,17-Sep,Thu,Chiefs,1.0,-170.0,Chiefs,42.0,24,31,-3.0,5,1,8:29PM,55,Broncos,0.0,@,boxscore,2,Broncos,314,299,2015.0,2015,Over
1,-125.0,20-Sep,Sun,Cardinals,0.0,105.0,Bears,46.0,23,48,-2.0,2,2,1:00PM,71,Bears,1.0,@,boxscore,2,Cardinals,335,300,2015.0,2015,Over
2,-120.0,20-Sep,Sun,Titans,0.0,100.0,Titans,41.0,14,28,-1.0,3,0,1:02PM,42,Browns,1.0,,boxscore,2,Browns,385,274,2015.0,2015,Over
3,110.0,20-Sep,Sun,Giants,1.0,-130.0,Giants,50.0,20,24,-2.0,1,0,1:02PM,44,Falcons,0.0,@,boxscore,2,Falcons,388,402,2015.0,2015,Under
4,135.0,20-Sep,Sun,Panthers,1.0,-155.0,Texans,41.0,17,24,-3.0,1,1,1:02PM,41,Texans,0.0,,boxscore,2,Panthers,300,350,2015.0,2015,Over
5,350.0,20-Sep,Sun,Saints,1.0,-450.0,Saints,47.0,19,26,-10.0,3,2,1:02PM,45,Buccaneers,0.0,@,boxscore,2,Buccaneers,323,333,2015.0,2015,Under
6,200.0,20-Sep,Sun,Steelers,1.0,-240.0,49ers,46.0,18,43,-6.0,1,0,1:02PM,61,49ers,0.0,,boxscore,2,Steelers,409,453,2015.0,2015,Over
7,-101.0,20-Sep,Sun,Bills,1.0,-119.0,Bills,45.0,32,40,-2.0,3,2,1:02PM,72,Patriots,0.0,@,boxscore,2,Patriots,349,507,2015.0,2015,Over
8,125.0,20-Sep,Sun,Vikings,1.0,-145.0,Lions,44.0,16,26,-2.0,3,1,1:03PM,42,Lions,0.0,,boxscore,2,Vikings,323,350,2015.0,2015,Under
9,145.0,20-Sep,Sun,Bengals,1.0,-175.0,Chargers,48.0,19,24,-4.0,3,2,1:03PM,43,Chargers,0.0,,boxscore,2,Bengals,354,389,2015.0,2015,Under
10,-175.0,20-Sep,Sun,Rams,0.0,155.0,Rams,41.0,10,24,-3.0,0,1,1:03PM,34,Redskins,1.0,,boxscore,2,Redskins,213,373,2015.0,2015,Under
11,-250.0,20-Sep,Sun,Dolphins,0.0,210.0,Dolphins,42.0,20,23,-6.0,0,0,4:05PM,43,Jaguars,1.0,,boxscore,2,Jaguars,386,396,2015.0,2015,Over
12,-220.0,20-Sep,Sun,Ravens,0.0,190.0,Ravens,42.0,33,37,-6.0,2,1,4:05PM,70,Raiders,1.0,,boxscore,2,Raiders,493,448,2015.0,2015,Over
13,250.0,20-Sep,Sun,Eagles,1.0,-300.0,Eagles,54.0,10,20,-6.0,3,2,4:25PM,30,Cowboys,0.0,@,boxscore,2,Cowboys,226,359,2015.0,2015,Under
14,145.0,20-Sep,Sun,Packers,1.0,-175.0,Seahawks,49.0,17,27,-4.0,2,1,8:25PM,44,Seahawks,0.0,,boxscore,2,Packers,324,361,2015.0,2015,Under
15,220.0,21-Sep,Mon,Colts,1.0,-270.0,Colts,46.0,7,20,-6.0,5,1,8:30PM,27,Jets,0.0,@,boxscore,2,Jets,343,344,2015.0,2015,Under
0,145.0,24-Sep,Thu,Giants,1.0,-165.0,Redskins,45.0,21,32,-3.0,3,0,8:26PM,53,Redskins,0.0,,boxscore,3,Giants,393,363,2015.0,2015,Over
1,100.0,27-Sep,Sun,Rams,1.0,-120.0,Rams,48.0,6,12,-1.0,1,1,1:00PM,18,Steelers,0.0,@,boxscore,3,Steelers,258,259,2015.0,2015,Under
2,163.0,27-Sep,Sun,Browns,1.0,-183.0,Browns,44.0,20,27,-4.0,2,1,1:02PM,47,Raiders,0.0,@,boxscore,3,Raiders,355,469,2015.0,2015,Over
3,105.0,27-Sep,Sun,Vikings,1.0,-130.0,Chargers,46.0,14,31,-2.0,2,1,1:02PM,45,Chargers,0.0,,boxscore,3,Vikings,369,284,2015.0,2015,Under
4,100.0,27-Sep,Sun,Ravens,1.0,-125.0,Ravens,46.0,24,28,-2.0,1,2,1:02PM,52,Bengals,0.0,@,boxscore,3,Bengals,398,458,2015.0,2015,Over
5,-175.0,27-Sep,Sun,Colts,0.0,155.0,Titans,46.0,33,35,-3.0,2,2,1:03PM,68,Titans,1.0,@,boxscore,3,Colts,433,378,2015.0,2015,Over
6,145.0,27-Sep,Sun,Jets,1.0,-165.0,Jets,47.0,17,24,-3.0,4,1,1:03PM,41,Eagles,0.0,@,boxscore,3,Eagles,323,231,2015.0,2015,Under
7,220.0,27-Sep,Sun,Texans,1.0,-260.0,Buccaneers,41.0,9,19,-6.0,1,1,1:03PM,28,Buccaneers,0.0,,boxscore,3,Texans,318,413,2015.0,2015,Under
8,-110.0,27-Sep,Sun,Cowboys,1.0,-110.0,Cowboys,43.0,28,39,-1.0,1,0,1:03PM,67,Falcons,0.0,@,boxscore,3,Falcons,347,438,2015.0,2015,Over
9,350.0,27-Sep,Sun,Panthers,1.0,-450.0,Saints,43.0,22,27,-10.0,2,0,1:03PM,49,Saints,0.0,,boxscore,3,Panthers,380,431,2015.0,2015,Over
10,750.0,27-Sep,Sun,Patriots,1.0,-1250.0,Jaguars,49.0,17,51,-14.0,1,0,1:06PM,68,Jaguars,0.0,,boxscore,3,Patriots,293,471,2015.0,2015,Over
11,250.0,27-Sep,Sun,Cardinals,1.0,-300.0,49ers,45.0,7,47,-6.0,4,1,4:05PM,54,49ers,0.0,,boxscore,3,Cardinals,156,446,2015.0,2015,Over
12,105.0,27-Sep,Sun,Dolphins,1.0,-125.0,Dolphins,44.0,14,41,-2.0,3,0,4:25PM,55,Bills,0.0,@,boxscore,3,Bills,391,428,2015.0,2015,Over
13,800.0,27-Sep,Sun,Seahawks,1.0,-1600.0,Bears,44.0,0,26,-16.0,0,0,4:26PM,26,Bears,0.0,,boxscore,3,Seahawks,146,371,2015.0,2015,Under
14,-163.0,27-Sep,Sun,Broncos,0.0,130.0,Lions,44.0,12,24,-3.0,3,2,8:30PM,36,Lions,1.0,@,boxscore,3,Broncos,290,354,2015.0,2015,Under
15,210.0,28-Sep,Mon,Packers,1.0,-250.0,Chiefs,48.0,28,38,-6.0,1,0,8:30PM,66,Chiefs,0.0,,boxscore,3,Packers,326,448,2015.0,2015,Over
0,-163.0,1-Oct,Thu,Ravens,0.0,130.0,Steelers,44.0,20,23,-3.0,0,2,8:26PM,43,Steelers,1.0,@,boxscore,4,Ravens,263,356,2015.0,2015,Under
1,-140.0,4-Oct,Sun,Jets,0.0,120.0,Dolphins,42.0,14,27,-2.0,2,1,9:37AM,41,Dolphins,1.0,@,boxscore,4,Jets,226,425,2015.0,2015,Under
2,167.0,4-Oct,Sun,Colts,1.0,-200.0,Jaguars,43.0,13,16,-4.0,0,2,1:02PM,29,Jaguars,0.0,,boxscore,4,Colts,431,326,2015.0,2015,Under
3,210.0,4-Oct,Sun,Bills,1.0,-260.0,Bills,46.0,10,24,-6.0,2,1,1:02PM,34,Giants,0.0,@,boxscore,4,Giants,313,303,2015.0,2015,Under
4,-165.0,4-Oct,Sun,Raiders,0.0,145.0,Raiders,44.0,20,22,-3.0,2,3,1:02PM,42,Bears,1.0,,boxscore,4,Bears,266,371,2015.0,2015,Under
5,185.0,4-Oct,Sun,Falcons,1.0,-225.0,Texans,48.0,21,48,-4.0,4,0,1:02PM,69,Texans,0.0,,boxscore,4,Falcons,428,378,2015.0,2015,Over
6,155.0,4-Oct,Sun,Bengals,1.0,-175.0,Chiefs,45.0,21,36,-4.0,1,0,1:03PM,57,Chiefs,0.0,,boxscore,4,Bengals,461,445,2015.0,2015,Over
7,-161.0,4-Oct,Sun,Eagles,0.0,130.0,Eagles,46.0,20,23,-3.0,2,1,1:03PM,43,Redskins,1.0,,boxscore,4,Redskins,320,417,2015.0,2015,Under
8,-182.0,4-Oct,Sun,Panthers,0.0,145.0,Buccaneers,40.0,23,37,-3.0,5,1,1:03PM,60,Buccaneers,1.0,@,boxscore,4,Panthers,411,244,2015.0,2015,Over
9,205.0,4-Oct,Sun,Chargers,1.0,-245.0,Browns,44.0,27,30,-5.0,1,0,4:05PM,57,Browns,0.0,,boxscore,4,Chargers,432,438,2015.0,2015,Over
10,275.0,4-Oct,Sun,Cardinals,1.0,-350.0,Cardinals,44.0,22,24,-7.0,3,0,4:25PM,46,Rams,0.0,@,boxscore,4,Rams,447,328,2015.0,2015,Over
11,240.0,4-Oct,Sun,Broncos,1.0,-300.0,Vikings,43.0,20,23,-6.0,1,2,4:25PM,43,Vikings,0.0,,boxscore,4,Broncos,325,344,2015.0,2015,Over
12,-345.0,4-Oct,Sun,Packers,0.0,275.0,49ers,48.0,3,17,-8.0,1,0,4:25PM,20,49ers,1.0,@,boxscore,4,Packers,196,362,2015.0,2015,Under
13,140.0,4-Oct,Sun,Saints,1.0,-155.0,Cowboys,49.0,20,26,-3.0,0,0,8:30PM,46,Cowboys,0.0,,boxscore,4,Saints,335,438,2015.0,2015,Under
