,Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog,Model_Preds,True_Gold,Model_Correct
1209,2.0,-0.04809018791518094,0.027796215673267004,-0.05404779421203206,0.0325064418857245,4.0,12.0,0.006664810494731961,0.008251293922601547,0.035016158930449334,0.04403618267165618,0.01716180580165923,0.03614087581160976,0.014988846252405385,0.0357176738389966,0.02393449543429136,0.04087539158422211,Under,Over,0
1141,2.0,-0.018320071586735598,0.025016594105940305,0.017740879016163197,-0.017375566123059898,4.0,7.0,0.003938297110523432,0.021983159890022138,0.014518895166283866,0.024523076659816782,0.0,0.024431155043941208,0.004859541732358798,0.025236350593062555,0.007356788820988914,0.026361480014506868,Under,Over,0
422,2.0,-0.029770116328445336,0.025943134628382537,-0.027849054269558502,0.019121436403367352,1.0,11.0,0.002120621521051078,0.021217612943832558,0.026333290252573683,0.02989122702560904,0.02059416696199108,0.013142136658767184,0.029472805052098164,0.02613414125016872,0.02849125514197375,0.026392273826985183,Under,Over,0
1117,3.0,-0.013740053690051695,0.030575837240593706,-0.016812577207177912,0.01130658848199113,4.0,6.0,0.03271816061050235,0.02239636921848992,0.04042515909043743,0.007205920800816467,0.01716180580165923,0.0,0.046386534717970336,0.004989521728786577,0.034290767497205894,0.009855853299101994,Under,Under,1
848,2.0,-0.03206012527678729,0.025016594105940305,-0.032490563314484924,0.02369395380417259,3.0,5.0,0.022599103801547598,0.012671629952566665,0.026158487469854,0.02375285004713576,0.025522957142262912,0.03614087581160976,0.02617496304407716,0.01965384778534225,0.02757684066859459,0.023473650602995152,Over,Over,1
781,2.0,-0.029770116328445336,0.027796215673267004,0.02630188458791637,-0.023278270404099386,3.0,0.0,0.021236509803668657,0.019257930637214683,0.02650054223120489,0.022696982485349456,0.02627129232117995,0.02468257541224712,0.02593938176975481,0.023133582832476185,0.0283104998379127,0.024627533427856542,Under,Over,0
23,2.0,-0.009160035793367795,0.027796215673267004,-0.010417609189723738,-0.00989326492174224,0.0,1.0,0.03090048502103,0.024753881767804645,0.00882521078734902,0.026555152580786605,0.0,0.022998739152842573,0.027958142693960356,0.027442369508326174,0.02240790421909137,0.0320975222397094,Under,Over,0
405,2.0,-0.03206012527678729,0.027796215673267004,0.025786161360702317,-0.0249410040043922,1.0,10.0,0.019691485552617155,0.009430050197258913,0.007544131802088675,0.01654692924631929,0.01716180580165923,0.019713204988150775,0.03761411522708888,0.009096749981141385,0.02433340369152955,0.016749084029128686,Over,Under,0
43,2.0,-0.02748010738010339,0.027796215673267004,0.025786161360702317,-0.0249410040043922,0.0,2.0,0.01878264775788098,0.0279954615231124,0.027614369237834016,0.03776436271539,0.044620695084314,0.009856602494075387,0.018207503763448218,0.04618349990425625,0.02671151060968029,0.043654683548775434,Over,Over,1
581,2.0,-0.02748010738010339,0.027487368832452928,0.02372326845184614,-0.020784170003660167,2.0,4.0,0.0284769175684002,0.010314117403251936,0.021351316421005684,0.018415130935419858,0.02059416696199108,0.04928301247037694,0.03136613299977042,0.011652358671495484,0.032365268024767704,0.02026169841176995,Under,Under,1
1055,2.0,-0.0045800178966838995,0.03304661196710633,-0.012171068162251495,-0.008646214721522629,4.0,1.0,0.038474133310498135,0.0,0.016511684698911063,0.03963256440449056,0.03089125044298661,0.013142136658767184,0.0429154334805712,0.02178352169397067,0.03643873503618075,0.023070323273046783,Under,Under,1
552,2.0,-0.03206012527678729,0.02686967515082477,-0.03094339363284278,0.022446903603952982,2.0,2.0,0.013632566921042649,0.01208225181523798,0.022205369077845916,0.022551863246999683,0.01029708348099554,0.04271194414099335,0.010539525575375576,0.018649858656988854,0.0151431711497728,0.024661632920297633,Over,Under,0
1070,2.0,-0.020610080535077544,0.027796215673267004,0.019184904052362527,-0.01878888968330879,4.0,2.0,0.04786545718943863,0.012376940883902322,0.022632395406266027,0.023219078135964168,0.027458889282654768,0.029569807482226162,0.02237282524832719,0.029085260809268106,0.02542273008629537,0.02937689606860312,Over,Over,1
308,2.0,-0.016030062638393645,0.02532544094675438,0.017018866498063532,-0.016627336002928133,1.0,3.0,0.015753188442093728,0.004420336029965115,0.016796368917857806,0.03149254275912382,0.0,0.019713204988150775,0.011265301288649941,0.0052937608585906385,0.013171643801499443,0.021625678109413533,Over,Under,0
382,2.0,-0.03206012527678729,0.030266990399779627,-0.034037732996127064,0.02161553680380657,1.0,8.0,0.0075736482894681375,0.0011787562746573641,0.023201763844159517,0.04763914307206442,0.044620695084314,0.022998739152842573,0.018586169352982674,0.0219356412588727,0.02492409476474764,0.030806874783874613,Under,Under,1
1174,2.0,-0.03206012527678729,0.02563428778756846,-0.03630691519586887,0.022779450324011543,4.0,10.0,0.008482486084204313,0.047150250986294565,0.02775671134730739,0.01961611773555593,0.024026528122322924,0.019713204988150775,0.02780036536498767,0.009370565197965038,0.028775093709624,0.01813506339931491,Under,Over,0
490,1.0,-0.013740053690051695,0.03273776512629225,0.015987420043635438,-0.014548919002562116,1.0,15.0,0.016662026236829903,0.00913536112859457,0.05124315941041365,0.036830261870839716,0.01716180580165923,0.045997478305685145,0.032691462563141004,0.02914610863522891,0.03648476291201593,0.02990488820962644,Over,Over,1
78,2.0,-0.03664014317347119,0.024707747265126225,0.030427670405628736,-0.029929204805270636,0.0,5.0,0.022599103801547598,0.027700772454448054,0.026158487469854,0.034695174226153355,0.025522957142262912,0.022998739152842573,0.02617496304407716,0.009370565197965038,0.02757684066859459,0.02645827284461309,Over,Over,1
